2700300, ARAPIRACA, ARAPIRACA
2702009, COITE DO NOIA, ARAPIRACA
2702603, FEIRA GRANDE, ARAPIRACA
2702900, GIRAU DO PONCIANO, ARAPIRACA
2704104, LAGOA DA CANOA, ARAPIRACA
2709202, TRAIPU, ARAPIRACA
2700706, BATALHA, ARAPIRACA
2700904, BELO MONTE, ARAPIRACA
2702355, CRAIBAS, ARAPIRACA
2703403, JACARE DOS HOMENS, ARAPIRACA
2703700, JARAMATAIA, ARAPIRACA
2702405, DELMIRO GOUVEIA, DELMIRO GOUVEIA
2700102, AGUA BRANCA, DELMIRO GOUVEIA
2705804, OLHO DAGUA DO CASADO, DELMIRO GOUVEIA
2706422, PARICONHA, DELMIRO GOUVEIA
2707107, PIRANHAS, DELMIRO GOUVEIA
2701605, CANAPI, DELMIRO GOUVEIA
2703304, INHAPI, DELMIRO GOUVEIA
2705002, MATA GRANDE, DELMIRO GOUVEIA
2704302, MACEIO, MACEIO
2700508, BARRA DE SANTO ANTONIO, MACEIO
2700607, BARRA DE SAO MIGUEL, MACEIO
2702207, COQUEIRO SECO, MACEIO
2704708, MARECHAL DEODORO, MACEIO
2705200, MESSIAS, MACEIO
2706448, PARIPUEIRA, MACEIO
2706901, PILAR, MACEIO
2707701, RIO LARGO, MACEIO
2707909, SANTA LUZIA DO NORTE, MACEIO
2708907, SATUBA, MACEIO
2706307, PALMEIRA DOS INDIOS, PALMEIRA DOS INDIOS
2701209, CACIMBINHAS, PALMEIRA DOS INDIOS
2702504, DOIS RIACHOS, PALMEIRA DOS INDIOS
2702553, ESTRELA DE ALAGOAS, PALMEIRA DOS INDIOS
2704401, MAJOR ISIDORO, PALMEIRA DOS INDIOS
2705309, MINADOR DO NEGRAO, PALMEIRA DOS INDIOS
2700805, BELEM, PALMEIRA DOS INDIOS
2703106, IGACI, PALMEIRA DOS INDIOS
2709004, TANQUE DARCA, PALMEIRA DOS INDIOS
2709103, TAQUARANA, PALMEIRA DOS INDIOS
2706703, PENEDO, PENEDO
2702702, FELIZ DESERTO, PENEDO
2703205, IGREJA NOVA, PENEDO
2706802, PIACABUCU, PENEDO
2701506, CAMPO GRANDE, PENEDO
2705903, OLHO DAGUA GRANDE, PENEDO
2707503, PORTO REAL DO COLEGIO, PENEDO
2708204, SAO BRAS, PENEDO
2708808, SAO SEBASTIAO, PENEDO
2707305, PORTO CALVO, PORTO CALVO
2703601, JAPARATINGA, PORTO CALVO
2704500, MARAGOGI, PORTO CALVO
2706505, PASSO DE CAMARAGIBE, PORTO CALVO
2707404, PORTO DE PEDRAS, PORTO CALVO
2708709, SAO MIGUEL DOS MILAGRES, PORTO CALVO
2701357, CAMPESTRE, PORTO CALVO
2703502, JACUIPE, PORTO CALVO
2703908, JUNDIA, PORTO CALVO
2705101, MATRIZ DE CAMARAGIBE, PORTO CALVO
2708501, SAO LUIS DO QUITUNDE, PORTO CALVO
2708006, SANTANA DO IPANEMA, SANTANA DO IPANEMA
2704609, MARAVILHA, SANTANA DO IPANEMA
2706000, OLIVENCA, SANTANA DO IPANEMA
2706109, OURO BRANCO, SANTANA DO IPANEMA
2707206, POCO DAS TRINCHEIRAS, SANTANA DO IPANEMA
2708956, SENADOR RUI PALMEIRA, SANTANA DO IPANEMA
2701803, CARNEIROS, SANTANA DO IPANEMA
2705408, MONTEIROPOLIS, SANTANA DO IPANEMA
2705705, OLHO DAGUA DAS FLORES, SANTANA DO IPANEMA
2706208, PALESTINA, SANTANA DO IPANEMA
2706406, PAO DE ACUCAR, SANTANA DO IPANEMA
2708402, SAO JOSE DA TAPERA, SANTANA DO IPANEMA
2708600, SAO MIGUEL DOS CAMPOS, SAO MIGUEL DOS CAMPOS
2700201, ANADIA, SAO MIGUEL DOS CAMPOS
2701001, BOCA DA MATA, SAO MIGUEL DOS CAMPOS
2701407, CAMPO ALEGRE, SAO MIGUEL DOS CAMPOS
2704203, LIMOEIRO DE ANADIA, SAO MIGUEL DOS CAMPOS
2707800, ROTEIRO, SAO MIGUEL DOS CAMPOS
2702306, CORURIPE, SAO MIGUEL DOS CAMPOS
2703759, JEQUIA DA PRAIA, SAO MIGUEL DOS CAMPOS
2704005, JUNQUEIRO, SAO MIGUEL DOS CAMPOS
2709152, TEOTONIO VILELA, SAO MIGUEL DOS CAMPOS
2709301, UNIAO DOS PALMARES, UNIAO DOS PALMARES
2701100, BRANQUINHA, UNIAO DOS PALMARES
2703007, IBATEGUARA, UNIAO DOS PALMARES
2708105, SANTANA DO MUNDAU, UNIAO DOS PALMARES
2708303, SAO JOSE DA LAJE, UNIAO DOS PALMARES
2702108, COLONIA LEOPOLDINA, UNIAO DOS PALMARES
2702801, FLEXEIRAS, UNIAO DOS PALMARES
2703809, JOAQUIM GOMES, UNIAO DOS PALMARES
2705507, MURICI, UNIAO DOS PALMARES
2705606, NOVO LINO, UNIAO DOS PALMARES
2709400, VICOSA, VICOSA
2701308, CAJUEIRO, VICOSA
2701902, CHA PRETA, VICOSA
2704906, MAR VERMELHO, VICOSA
2706604, PAULO JACINTO, VICOSA
2707008, PINDOBA, VICOSA
2707602, QUEBRANGULO, VICOSA
2700409, ATALAIA, VICOSA
2701704, CAPELA, VICOSA
2704807, MARIBONDO, VICOSA
